Time ns, Voltage uV
399.65781354795445, -230.59976247030863
399.12394366197185, -243.00771971496488
401.1259557344065, -214.05581947743485
401.1259557344065, -230.59976247030863
401.1259557344065, -247.14370546318332
401.9267605633803, -98.24821852731566
401.9267605633803, -114.79216152019035
401.9267605633803, -131.33610451306413
401.9267605633803, -147.88004750593882
401.9267605633803, -164.42.39904988126
401.9267605633803, -180.96793349168638
401.9267605633803, -197.51187648456107
401.9267605633803, -259.55166270783866
402.72756539235417, -214.05581947743485
402.72756539235417, -230.59976247030863
402.72756539235417, -247.14370546318332
403.52837022132803, -98.24821852731566
403.52837022132803, -114.79216152019035
403.52837022132803, -131.33610451306413
403.52837022132803, -147.88004750593882
403.52837022132803, -164.4239904988126
403.52837022132803, -180.96793349168638
403.52837022132803, -197.51187648456107
403.52837022132803, -263.6876484560571
404.32917505030184, -214.05581947743485
404.32917505030184, -226.4637767220902
404.32917505030184, -247.14370546318332
405.1299798792757, -96.18022565320643
405.1299798792757, -114.79216152019035
405.1299798792757, -131.33610451306413
405.1299798792757, -147.88004750593882
405.1299798792757, -164.4239904988126
405.1299798792757, -180.96793349168638
405.1299798792757, -197.51187648456107
404.7295774647888, -259.55166270783866
405.9307847082495, -214.05581947743485
405.9307847082495, -226.4637767220902
405.9307847082495, -245.0757125890741
406.7315895372234, -98.24821852731566
406.7315895372234, -114.79216152019035
406.7315895372234, -131.33610451306413
406.7315895372234, -147.88004750593882
406.7315895372234, -164.4239904988126
406.7315895372234, -180.96793349168638
406.7315895372234, -197.51187648456107
406.865057008719, -260.9303246239115
407.53239436619725, -214.05581947743485
407.53239436619725, -228.5317695961994
408.33319919517106, -102.38420427553501
408.33319919517106, -118.9281472684088
408.33319919517106, -135.47209026128257
408.33319919517106, -152.01603325415726
408.33319919517106, -168.55997624703105
408.33319919517106, -185.10391923990483
408.33319919517106, -201.64786223277952
408.33319919517106, -247.14370546318332
408.33319919517106, -263.6876484560571
409.13400402414493, -222.32779097387174
409.53440643863183, -106.52019002375346
409.93480885311874, -123.06413301662724
409.93480885311874, -139.60807600950102
409.93480885311874, -156.1520190023757
409.93480885311874, -172.6959619952495
409.93480885311874, -189.23990498812327
409.93480885311874, -205.78384798099796
409.93480885311874, -247.14370546318332
409.93480885311874, -261.6196555819479
410.86908115358824, -220.94912905779893
411.6698859825621, -114.79216152019035
411.5364185110664, -135.47209026128257
411.5364185110664, -152.01603325415726
411.5364185110664, -168.55997624703105
411.5364185110664, -185.10391923990483
411.5364185110664, -201.64786223277952
411.1360160965795, -243.00771971496488
412.3372233400403, -222.32779097387174
412.3372233400403, -255.4156769596202
413.13802816901415, -110.6561757719719
413.13802816901415, -127.20011876484568
413.13802816901415, -143.74406175771946
413.13802816901415, -160.28800475059415
413.13802816901415, -176.83194774346794
413.13802816901415, -193.37589073634263
413.13802816901415, -209.9198337292164
413.2714956405098, -237.49307205067362
412.7376257545272, -271.959619952494
412.7376257545272, -284.36757719715024
414.7396378269618, -106.52019002375346
414.7396378269618, -123.06413301662724
414.7396378269618, -139.60807600950102
414.7396378269618, -156.1520190023757
414.7396378269618, -172.6959619952495
414.7396378269618, -189.23990498812327
414.7396378269618, -205.78384798099796
414.7396378269618, -222.32779097387174
414.33923541247486, -234.73574821852708
414.87310529845746, -255.4156769596202
414.7396378269618, -276.09560570071244
414.33923541247486, -284.36757719715024
416.47471495640514, -123.06413301662724
416.3412474849095, -143.74406175771946
416.3412474849095, -160.28800475059415
416.3412474849095, -176.83194774346794
416.3412474849095, -193.37589073634263
416.3412474849095, -209.9198337292164
416.3412474849095, -226.4637767220902
416.3412474849095, -238.87173396674643
415.9408450704226, -255.4156769596202
415.9408450704226, -271.959619952494
415.9408450704226, -284.36757719715024
418.0763246143528, -131.33610451306413
417.9428571428572, -152.01603325415726
417.9428571428572, -168.55997624703105
417.9428571428572, -185.10391923990483
417.9428571428572, -201.64786223277952
417.9428571428572, -218.1918052256533
417.9428571428572, -234.73574821852708
417.9428571428572, -251.27969121140177
417.9428571428572, -267.82363420427555
417.9428571428572, -282.2995843230401
419.54446680080486, -127.20011876484568
419.54446680080486, -143.74406175771946
419.54446680080486, -160.28800475059415
419.54446680080486, -176.83194774346794
419.54446680080486, -193.37589073634263
419.54446680080486, -209.9198337292164
419.54446680080486, -226.4637767220902
419.54446680080486, -243.00771971496488
419.54446680080486, -259.55166270783866
419.54446680080486, -276.09560570071244
419.14406438631795, -284.36757719715024
420.7456740442656, -110.6561757719719
421.2795439302482, -131.33610451306413
421.14607645875253, -152.01603325415726
421.14607645875253, -168.55997624703105
421.14607645875253, -185.10391923990483
421.14607645875253, -201.64786223277952
421.14607645875253, -218.1918052256533
421.14607645875253, -234.73574821852708
421.14607645875253, -251.27969121140177
421.14607645875253, -267.82363420427555
421.14607645875253, -282.2995843230401
422.8811535881959, -123.06413301662724
422.74768611670027, -143.74406175771946
422.74768611670027, -160.28800475059415
422.74768611670027, -176.83194774346794
422.74768611670027, -193.37589073634263
422.74768611670027, -209.9198337292164
422.74768611670027, -226.4637767220902
422.74768611670027, -243.00771971496488
422.3472837022133, -255.4156769596202
422.3472837022133, -271.959619952494
422.3472837022133, -284.36757719715024
424.34929577464794, -123.06413301662724
424.34929577464794, -139.60807600950102
424.34929577464794, -156.1520190023757
424.34929577464794, -172.6959619952495
424.34929577464794, -189.23990498812327
424.34929577464794, -205.78384798099796
424.34929577464794, -222.32779097387174
424.34929577464794, -238.87173396674643
424.34929577464794, -255.4156769596202
424.34929577464794, -271.959619952494
424.34929577464794, -284.36757719715024
426.08437290409125, -131.33610451306413
425.9509054325956, -152.01603325415726
425.9509054325956, -168.55997624703105
425.9509054325956, -185.10391923990483
425.9509054325956, -201.64786223277952
425.9509054325956, -218.1918052256533
425.9509054325956, -234.73574821852708
425.9509054325956, -249.21169833729255
425.5505030181087, -263.6876484560571
425.5505030181087, -280.2315914489309
426.3513078470825, -102.38420427553501
427.68598256203893, -123.06413301662724
427.5525150905433, -143.74406175771946
427.5525150905433, -160.28800475059415
