f,PPch1,PPch2
0.1,4,4
0.15,4,4
0.2,4,4
0.3,4,4
0.4,4,4
0.45,4,4
0.5,4,4
0.7,4,4
1,4,4
1.2,4,4
1.5,4,4
2,4,4
2.5,4,4
3,4,4
3.5,4,4
4,4,4
5,4,4
5.5,4,4
6,4,4
7,4,4
10,4,4
14,4,4
20,4,4
50,4,4
100,4,4
