f,PPch1,PPch2,fase
0.001,4,4,1.46
0.01,4,4,0.716
0.1,4,4,0.36
1,4,4,0.719
5,4,4,1.8
13,4,4,3.75
50,4,4,7.2
100,4,4,4.2
200,4,4,4.32
350,4,4,40.1
500,4,4,52.5
600,4,4,60.6
750,4,4,71.9
1000,4,4,86.5
1700,4,4,0
2500,4,4,0
3300,4,4,0
5000,4,4,0
