f,PPch1,PPch2
1,151,146
5,144,144
10,147,146
50,144,143
250,144,142
1000,144,142
3000,142,143
10000,142,143
50000,142,142
100000,142,140
200000,146,138
300000,145,130
400000,145,122
500000,146,112
600000,146,105
700000,146,96
800000,146,88
900000,146,81
1000000,147,75.2
1200000,147,65.6
1500000,148,55.2
1700000,149,48.8
2000000,147,42.4
2200000,148,39.2
2500000,148,34.4
3000000,147,28.8
4000000,147,20.8
5000000,146,16
10000000,142,14.4
20000000,139,14.4
