f,PPch1,PPch2
0.001,4,40
0.005,4,40
0.01,4,40
0.05,4,40
0.25,4,40
1,4,40
3,4,40
10,4,40
15,4,40
25,4,40
30,4,40
40,4,40
45,4,40
50,4,40
55,4,40
75,4,40
100,4,40
110,4,40
130,4,40
160,4,40
200,4,40
250,4,40
300,4,40
400,4,40
700,4,40
1000,4,4
2000,4,4
5000,4,4
20000,4,4
