f,PPch1,PPch2
0.001,4,4
0.005,4,4
0.01,4,4
0.05,4,4
0.25,4,4
1,4,4
3,4,4
10,4,4
50,4,4
100,4,4
200,4,4
300,4,4
400,4,4
500,4,4
600,4,4
700,4,4
800,4,4
900,4,4
1000,4,4
1200,4,4
1500,4,4
1700,4,4
2000,4,4
2200,4,4
2500,4,4
3000,4,4
4000,4,4
5000,4,4
10000,4,4
20000,4,4
