in s,C3 in V,C4 in V
4.2630E-07,-7.568E-02,5.088E+00
4.2640E-07,-7.080E-02,5.088E+00
4.2650E-07,-6.592E-02,5.107E+00
4.2660E-07,-6.104E-02,5.107E+00
4.2670E-07,-5.127E-02,5.107E+00
4.2680E-07,-4.150E-02,5.107E+00
4.2690E-07,-3.174E-02,5.088E+00
4.2700E-07,-1.709E-02,5.068E+00
4.2710E-07,-7.324E-03,5.068E+00
4.2720E-07,7.324E-03,5.049E+00
4.2730E-07,2.197E-02,5.049E+00
4.2740E-07,3.662E-02,5.049E+00
4.2750E-07,5.127E-02,5.049E+00
4.2760E-07,6.592E-02,5.068E+00
4.2770E-07,8.057E-02,5.068E+00
4.2780E-07,9.521E-02,5.088E+00
4.2790E-07,1.147E-01,5.107E+00
4.2800E-07,1.343E-01,5.107E+00
4.2810E-07,1.538E-01,5.107E+00
4.2820E-07,1.733E-01,5.107E+00
4.2830E-07,1.978E-01,5.088E+00
4.2840E-07,2.222E-01,5.088E+00
4.2850E-07,2.417E-01,5.068E+00
4.2860E-07,2.661E-01,5.049E+00
4.2870E-07,2.954E-01,5.029E+00
4.2880E-07,3.198E-01,5.010E+00
4.2890E-07,3.442E-01,5.010E+00
4.2900E-07,3.687E-01,5.010E+00
4.2910E-07,3.979E-01,5.010E+00
4.2920E-07,4.224E-01,5.029E+00
4.2930E-07,4.468E-01,5.029E+00
4.2940E-07,4.761E-01,5.049E+00
4.2950E-07,5.054E-01,5.068E+00
4.2960E-07,5.347E-01,5.088E+00
4.2970E-07,5.640E-01,5.088E+00
4.2980E-07,5.981E-01,5.088E+00
4.2990E-07,6.274E-01,5.088E+00
4.3000E-07,6.616E-01,5.088E+00
4.3010E-07,6.958E-01,5.068E+00
4.3020E-07,7.251E-01,5.068E+00
4.3030E-07,7.593E-01,5.049E+00
4.3040E-07,7.935E-01,5.029E+00
4.3050E-07,8.228E-01,5.029E+00
4.3060E-07,8.521E-01,5.029E+00
4.3070E-07,8.862E-01,5.029E+00
4.3080E-07,9.155E-01,5.029E+00
4.3090E-07,9.448E-01,5.029E+00
4.3100E-07,9.790E-01,5.049E+00
4.3110E-07,1.008E+00,5.049E+00
4.3120E-07,1.042E+00,5.068E+00
4.3130E-07,1.077E+00,5.068E+00
4.3140E-07,1.111E+00,5.068E+00
4.3150E-07,1.150E+00,5.068E+00
4.3160E-07,1.184E+00,5.068E+00
4.3170E-07,1.223E+00,5.068E+00
4.3180E-07,1.257E+00,5.049E+00
4.3190E-07,1.292E+00,5.049E+00
4.3200E-07,1.326E+00,5.029E+00
4.3210E-07,1.360E+00,5.029E+00
4.3220E-07,1.394E+00,5.029E+00
4.3230E-07,1.423E+00,5.029E+00
4.3240E-07,1.453E+00,5.029E+00
4.3250E-07,1.482E+00,5.029E+00
4.3260E-07,1.511E+00,5.049E+00
4.3270E-07,1.536E+00,5.049E+00
4.3280E-07,1.565E+00,5.068E+00
4.3290E-07,1.594E+00,5.068E+00
4.3300E-07,1.624E+00,5.068E+00
4.3310E-07,1.653E+00,5.068E+00
4.3320E-07,1.682E+00,5.068E+00
4.3330E-07,1.711E+00,5.068E+00
4.3340E-07,1.741E+00,5.068E+00
4.3350E-07,1.770E+00,5.068E+00
4.3360E-07,1.790E+00,5.049E+00
4.3370E-07,1.814E+00,5.049E+00
4.3380E-07,1.833E+00,5.049E+00
4.3390E-07,1.853E+00,5.049E+00
4.3400E-07,1.868E+00,5.049E+00
4.3410E-07,1.882E+00,5.049E+00
4.3420E-07,1.897E+00,5.049E+00
4.3430E-07,1.907E+00,5.068E+00
4.3440E-07,1.917E+00,5.068E+00
4.3450E-07,1.926E+00,5.068E+00
4.3460E-07,1.936E+00,5.068E+00
4.3470E-07,1.951E+00,5.068E+00
4.3480E-07,1.960E+00,5.068E+00
4.3490E-07,1.970E+00,5.068E+00
4.3500E-07,1.980E+00,5.068E+00
4.3510E-07,1.990E+00,5.068E+00
4.3520E-07,2.000E+00,5.049E+00
4.3530E-07,2.004E+00,5.049E+00
4.3540E-07,2.009E+00,5.049E+00
4.3550E-07,2.014E+00,5.049E+00
4.3560E-07,2.014E+00,5.029E+00
4.3570E-07,2.014E+00,5.029E+00
4.3580E-07,2.009E+00,5.029E+00
4.3590E-07,2.004E+00,5.029E+00
4.3600E-07,1.995E+00,5.029E+00
4.3610E-07,1.985E+00,5.029E+00
4.3620E-07,1.975E+00,5.029E+00
4.3630E-07,1.965E+00,5.029E+00
4.3640E-07,1.951E+00,5.029E+00
4.3650E-07,1.936E+00,5.029E+00
4.3660E-07,1.921E+00,5.029E+00
4.3670E-07,1.902E+00,5.029E+00
4.3680E-07,1.882E+00,5.029E+00
4.3690E-07,1.863E+00,5.029E+00
4.3700E-07,1.843E+00,5.029E+00
4.3710E-07,1.824E+00,5.049E+00
4.3720E-07,1.799E+00,5.049E+00
4.3730E-07,1.780E+00,5.049E+00
4.3740E-07,1.755E+00,5.049E+00
4.3750E-07,1.736E+00,5.049E+00
4.3760E-07,1.711E+00,5.049E+00
4.3770E-07,1.687E+00,5.049E+00
4.3780E-07,1.663E+00,5.049E+00
4.3790E-07,1.638E+00,5.029E+00
4.3800E-07,1.614E+00,5.029E+00
4.3810E-07,1.589E+00,5.029E+00
4.3820E-07,1.560E+00,5.010E+00
4.3830E-07,1.531E+00,5.010E+00
4.3840E-07,1.497E+00,5.010E+00
4.3850E-07,1.462E+00,5.010E+00
4.3860E-07,1.423E+00,5.010E+00
4.3870E-07,1.389E+00,5.010E+00
4.3880E-07,1.350E+00,5.029E+00
4.3890E-07,1.311E+00,5.029E+00
4.3900E-07,1.272E+00,5.029E+00
4.3910E-07,1.228E+00,5.029E+00
4.3920E-07,1.189E+00,5.029E+00
4.3930E-07,1.155E+00,5.029E+00
4.3940E-07,1.121E+00,5.029E+00
4.3950E-07,1.086E+00,5.010E+00
4.3960E-07,1.057E+00,5.010E+00
4.3970E-07,1.023E+00,5.010E+00
4.3980E-07,9.937E-01,5.010E+00
4.3990E-07,9.644E-01,5.010E+00
4.4000E-07,9.302E-01,5.010E+00
4.4010E-07,9.009E-01,5.010E+00
4.4020E-07,8.667E-01,5.010E+00
4.4030E-07,8.325E-01,5.029E+00
4.4040E-07,7.983E-01,5.049E+00
4.4050E-07,7.642E-01,5.049E+00
4.4060E-07,7.251E-01,5.068E+00
4.4070E-07,6.909E-01,5.068E+00
4.4080E-07,6.519E-01,5.068E+00
4.4090E-07,6.177E-01,5.068E+00
4.4100E-07,5.835E-01,5.068E+00
4.4110E-07,5.493E-01,5.049E+00
4.4120E-07,5.200E-01,5.049E+00
4.4130E-07,4.907E-01,5.029E+00
4.4140E-07,4.663E-01,5.029E+00
4.4150E-07,4.419E-01,5.010E+00
4.4160E-07,4.175E-01,5.010E+00
4.4170E-07,3.979E-01,5.010E+00
4.4180E-07,3.784E-01,5.010E+00
4.4190E-07,3.589E-01,5.010E+00
4.4200E-07,3.394E-01,5.029E+00
4.4210E-07,3.198E-01,5.029E+00
4.4220E-07,3.003E-01,5.049E+00
4.4230E-07,2.808E-01,5.049E+00
4.4240E-07,2.612E-01,5.049E+00
4.4250E-07,2.417E-01,5.049E+00
4.4260E-07,2.222E-01,5.049E+00
4.4270E-07,2.026E-01,5.029E+00
4.4280E-07,1.880E-01,5.029E+00
4.4290E-07,1.733E-01,5.010E+00
4.4300E-07,1.538E-01,5.010E+00
4.4310E-07,1.392E-01,4.990E+00
4.4320E-07,1.294E-01,4.990E+00
4.4330E-07,1.147E-01,4.990E+00
4.4340E-07,1.001E-01,4.990E+00
4.4350E-07,9.033E-02,4.990E+00
4.4360E-07,8.057E-02,5.010E+00
4.4370E-07,6.592E-02,5.029E+00
4.4380E-07,5.615E-02,5.029E+00
4.4390E-07,5.127E-02,5.049E+00
4.4400E-07,4.150E-02,5.049E+00
4.4410E-07,3.174E-02,5.049E+00
4.4420E-07,2.197E-02,5.049E+00
4.4430E-07,1.709E-02,5.049E+00
4.4440E-07,1.221E-02,5.029E+00
4.4450E-07,7.324E-03,5.029E+00
4.4460E-07,2.441E-03,5.010E+00
4.4470E-07,-2.441E-03,4.990E+00
4.4480E-07,-2.441E-03,4.990E+00
4.4490E-07,-2.441E-03,4.990E+00
4.4500E-07,-2.441E-03,4.990E+00
4.4510E-07,-2.441E-03,4.990E+00
4.4520E-07,-2.441E-03,5.010E+00
4.4530E-07,-2.441E-03,5.029E+00
4.4540E-07,-2.441E-03,5.029E+00
4.4550E-07,-2.441E-03,5.049E+00
4.4560E-07,-2.441E-03,5.068E+00
4.4570E-07,-2.441E-03,5.068E+00
4.4580E-07,-2.441E-03,5.068E+00
4.4590E-07,-7.324E-03,5.068E+00
4.4600E-07,-7.324E-03,5.068E+00
4.4610E-07,-7.324E-03,5.068E+00
4.4620E-07,-7.324E-03,5.068E+00
4.4630E-07,-7.324E-03,5.049E+00
4.4640E-07,-2.441E-03,5.049E+00
4.4650E-07,-2.441E-03,5.049E+00
4.4660E-07,2.441E-03,5.049E+00
4.4670E-07,2.441E-03,5.049E+00
4.4680E-07,7.324E-03,5.049E+00
4.4690E-07,1.221E-02,5.049E+00
4.4700E-07,1.709E-02,5.068E+00
4.4710E-07,2.197E-02,5.068E+00
4.4720E-07,2.686E-02,5.068E+00
