in s,Math in V
3.9760E-07,-2.02089E-04
3.9840E-07,-2.21602E-04
3.9920E-07,-2.21602E-04
4.0000E-07,-1.24040E-04
4.0080E-07,-2.02089E-04
4.0160E-07,-1.04527E-04
4.0240E-07,-2.21602E-04
4.0320E-07,-1.82577E-04
4.0400E-07,-2.02089E-04
4.0480E-07,-1.82577E-04
4.0560E-07,-2.21602E-04
4.0640E-07,-2.41114E-04
4.0720E-07,-2.02089E-04
4.0800E-07,-1.43552E-04
4.0880E-07,-2.41114E-04
4.0960E-07,-1.63064E-04
4.1040E-07,-8.50146E-05
4.1120E-07,-1.24040E-04
4.1200E-07,-3.19774E-04
4.1280E-07,-1.82577E-04
4.1360E-07,-3.00262E-04
4.1440E-07,-1.43552E-04
4.1520E-07,-1.63064E-04
4.1600E-07,-2.60627E-04
4.1680E-07,-1.24040E-04
4.1760E-07,-1.24040E-04
4.1840E-07,-1.63064E-04
4.1920E-07,-1.63064E-04
4.2000E-07,-1.63064E-04
4.2080E-07,-8.50146E-05
4.2160E-07,-1.24040E-04
4.2240E-07,-2.02089E-04
4.2320E-07,-1.24040E-04
4.2400E-07,-1.43552E-04
4.2480E-07,-1.24040E-04
4.2560E-07,-6.55021E-05
4.2640E-07,-1.04527E-04
4.2720E-07,-1.04527E-04
4.2800E-07,-1.63064E-04
4.2880E-07,-1.43552E-04
4.2960E-07,-2.02089E-04
4.3040E-07,-1.63064E-04
4.3120E-07,-1.63064E-04
4.3200E-07,-2.02089E-04
4.3280E-07,-1.43552E-04
4.3360E-07,-1.24040E-04
4.3440E-07,-1.63064E-04
4.3520E-07,-1.82577E-04
4.3600E-07,-1.82577E-04
4.3680E-07,-1.04527E-04
4.3760E-07,-1.63064E-04
4.3840E-07,-1.43552E-04
4.3920E-07,-4.59896E-05
4.4000E-07,-1.24040E-04
4.4080E-07,-1.24040E-04
4.4160E-07,-1.82577E-04
4.4240E-07,-1.63064E-04
4.4320E-07,-1.04527E-04
4.4400E-07,-2.02089E-04
4.4480E-07,-1.43552E-04
4.4560E-07,-1.04527E-04
4.4640E-07,-2.64772E-05
4.4720E-07,-2.21602E-04
4.4800E-07,-1.24040E-04
4.4880E-07,-1.43552E-04
4.4960E-07,-1.04527E-04
4.5040E-07,-1.43552E-04
4.5120E-07,-8.50146E-05
4.5200E-07,-6.55021E-05
4.5280E-07,-1.82577E-04
4.5360E-07,-1.43552E-04
4.5440E-07,-1.63064E-04
4.5520E-07,-1.63064E-04
4.5600E-07,-1.24040E-04
4.5680E-07,-1.63064E-04
4.5760E-07,-1.24040E-04
4.5840E-07,-6.55021E-05
4.5920E-07,-1.24040E-04
4.6000E-07,-1.43552E-04
4.6080E-07,-2.02089E-04
4.6160E-07,-1.63064E-04
4.6240E-07,-2.02089E-04
4.6320E-07,-1.63064E-04
4.6400E-07,-1.24040E-04
4.6480E-07,-1.63064E-04
4.6560E-07,-1.24040E-04
4.6640E-07,-1.24040E-04
4.6720E-07,-1.24040E-04
4.6800E-07,-1.24040E-04
