in s,C1 in V,C2 in V,C4 in V
3.3280E-07,-1.738E-02,2.074E-02,9.990E-03
3.3360E-07,-1.738E-02,1.211E-03,9.990E-03
3.3440E-07,-7.617E-03,3.051E-02,9.990E-03
3.3520E-07,1.191E-02,-8.555E-03,9.990E-03
3.3600E-07,-7.617E-03,5.004E-02,9.990E-03
3.3680E-07,-4.668E-02,2.074E-02,9.990E-03
3.3760E-07,-2.715E-02,3.051E-02,9.990E-03
3.3840E-07,2.148E-03,-1.832E-02,9.990E-03
3.3920E-07,2.148E-03,1.211E-03,9.990E-03
3.4000E-07,1.191E-02,1.098E-02,9.990E-03
3.4080E-07,-1.738E-02,2.074E-02,9.990E-03
3.4160E-07,-7.617E-03,2.074E-02,9.990E-03
3.4240E-07,-7.617E-03,2.074E-02,9.990E-03
3.4320E-07,-7.617E-03,4.027E-02,9.990E-03
3.4400E-07,-1.738E-02,2.074E-02,9.990E-03
3.4480E-07,1.191E-02,3.051E-02,9.990E-03
3.4560E-07,-1.738E-02,2.074E-02,9.990E-03
3.4640E-07,-7.617E-03,4.027E-02,9.990E-03
3.4720E-07,-3.691E-02,2.074E-02,9.990E-03
3.4800E-07,1.191E-02,1.211E-03,9.990E-03
3.4880E-07,1.191E-02,3.051E-02,9.990E-03
3.4960E-07,2.148E-03,-8.555E-03,9.990E-03
3.5040E-07,-4.668E-02,-8.555E-03,9.990E-03
3.5120E-07,-7.617E-03,2.074E-02,9.990E-03
3.5200E-07,1.191E-02,1.098E-02,9.990E-03
3.5280E-07,-3.691E-02,1.098E-02,9.990E-03
3.5360E-07,-1.738E-02,3.051E-02,9.990E-03
3.5440E-07,-7.617E-03,2.074E-02,9.990E-03
3.5520E-07,-3.691E-02,3.051E-02,9.990E-03
3.5600E-07,-2.715E-02,3.051E-02,9.990E-03
3.5680E-07,-2.715E-02,-8.555E-03,9.990E-03
3.5760E-07,-4.668E-02,-1.832E-02,9.990E-03
3.5840E-07,2.148E-03,-1.832E-02,9.990E-03
3.5920E-07,1.191E-02,1.098E-02,9.990E-03
3.6000E-07,-1.738E-02,3.051E-02,9.990E-03
3.6080E-07,2.148E-03,4.027E-02,9.990E-03
3.6160E-07,-7.617E-03,2.074E-02,9.990E-03
3.6240E-07,-3.691E-02,3.051E-02,9.990E-03
3.6320E-07,-2.715E-02,3.051E-02,9.990E-03
3.6400E-07,-1.738E-02,1.098E-02,9.990E-03
3.6480E-07,1.191E-02,1.098E-02,9.990E-03
3.6560E-07,-2.715E-02,3.051E-02,9.990E-03
3.6640E-07,1.191E-02,2.074E-02,9.990E-03
3.6720E-07,1.191E-02,2.074E-02,9.990E-03
3.6800E-07,2.148E-03,1.098E-02,9.990E-03
3.6880E-07,-7.617E-03,2.074E-02,9.990E-03
3.6960E-07,-1.738E-02,4.027E-02,9.990E-03
3.7040E-07,-1.738E-02,2.074E-02,9.990E-03
3.7120E-07,-1.738E-02,-8.555E-03,9.990E-03
3.7200E-07,-1.738E-02,2.074E-02,9.990E-03
3.7280E-07,1.191E-02,1.098E-02,9.990E-03
3.7360E-07,1.191E-02,-8.555E-03,9.990E-03
3.7440E-07,1.191E-02,2.074E-02,9.990E-03
3.7520E-07,2.148E-03,1.211E-03,9.990E-03
3.7600E-07,-1.738E-02,1.098E-02,9.990E-03
3.7680E-07,-2.715E-02,-8.555E-03,9.990E-03
3.7760E-07,1.191E-02,4.027E-02,9.990E-03
3.7840E-07,-4.668E-02,-8.555E-03,9.990E-03
3.7920E-07,1.191E-02,3.051E-02,9.990E-03
3.8000E-07,-7.617E-03,-8.555E-03,9.990E-03
3.8080E-07,-2.715E-02,2.074E-02,9.990E-03
3.8160E-07,-1.738E-02,1.211E-03,9.990E-03
3.8240E-07,-2.715E-02,-1.832E-02,9.990E-03
3.8320E-07,-7.617E-03,-1.832E-02,9.990E-03
3.8400E-07,-7.617E-03,1.098E-02,9.990E-03
3.8480E-07,-1.738E-02,-8.555E-03,9.990E-03
3.8560E-07,-1.738E-02,5.980E-02,9.990E-03
3.8640E-07,-1.738E-02,-1.832E-02,9.990E-03
3.8720E-07,-1.738E-02,1.098E-02,9.990E-03
3.8800E-07,-7.617E-03,3.051E-02,9.990E-03
3.8880E-07,-1.738E-02,2.074E-02,9.990E-03
3.8960E-07,1.191E-02,1.098E-02,9.990E-03
3.9040E-07,-2.715E-02,1.098E-02,9.990E-03
3.9120E-07,-1.738E-02,1.211E-03,9.990E-03
3.9200E-07,-2.715E-02,-1.832E-02,9.990E-03
3.9280E-07,-7.617E-03,1.098E-02,9.990E-03
3.9360E-07,-7.617E-03,2.074E-02,9.990E-03
3.9440E-07,-7.617E-03,2.074E-02,9.990E-03
3.9520E-07,2.148E-03,2.074E-02,9.990E-03
3.9600E-07,-1.738E-02,2.074E-02,9.990E-03
3.9680E-07,-7.617E-03,1.211E-03,9.990E-03
3.9760E-07,2.148E-03,2.074E-02,9.990E-03
3.9840E-07,-1.738E-02,2.074E-02,9.990E-03
3.9920E-07,-1.738E-02,2.074E-02,9.990E-03
4.0000E-07,-1.738E-02,2.074E-02,9.990E-03
4.0080E-07,-2.715E-02,1.098E-02,9.990E-03
4.0160E-07,-4.668E-02,2.074E-02,9.990E-03
4.0240E-07,-7.617E-03,2.074E-02,9.990E-03
4.0320E-07,-7.617E-03,1.098E-02,9.990E-03
4.0400E-07,-7.617E-03,1.211E-03,9.990E-03
4.0480E-07,-7.617E-03,1.098E-02,9.990E-03
4.0560E-07,-7.617E-03,1.098E-02,9.990E-03
4.0640E-07,-3.691E-02,2.074E-02,9.990E-03
4.0720E-07,-1.738E-02,1.211E-03,9.990E-03
4.0800E-07,-1.738E-02,-8.555E-03,9.990E-03
4.0880E-07,-2.715E-02,2.074E-02,9.990E-03
4.0960E-07,-1.738E-02,1.098E-02,9.990E-03
4.1040E-07,-7.617E-03,5.004E-02,9.990E-03
4.1120E-07,2.148E-03,2.074E-02,9.990E-03
4.1200E-07,-7.617E-03,3.051E-02,9.990E-03
4.1280E-07,1.191E-02,3.051E-02,9.990E-03
4.1360E-07,-1.738E-02,2.074E-02,9.990E-03
4.1440E-07,-1.738E-02,2.074E-02,9.990E-03
4.1520E-07,-7.617E-03,-1.832E-02,9.990E-03
4.1600E-07,-7.617E-03,2.074E-02,9.990E-03
4.1680E-07,-1.738E-02,3.051E-02,9.990E-03
4.1760E-07,3.145E-02,2.074E-02,9.990E-03
4.1840E-07,2.168E-02,2.074E-02,9.990E-03
4.1920E-07,-7.617E-03,3.051E-02,9.990E-03
4.2000E-07,-7.617E-03,2.074E-02,9.990E-03
4.2080E-07,-7.617E-03,2.074E-02,9.990E-03
4.2160E-07,-2.715E-02,1.211E-03,9.990E-03
4.2240E-07,2.148E-03,3.051E-02,9.990E-03
4.2320E-07,-1.738E-02,2.074E-02,9.990E-03
4.2400E-07,2.148E-03,-8.555E-03,9.990E-03
4.2480E-07,2.168E-02,1.098E-02,9.990E-03
4.2560E-07,-1.738E-02,1.098E-02,9.990E-03
4.2640E-07,-7.617E-03,1.098E-02,9.990E-03
4.2720E-07,-1.738E-02,3.051E-02,9.990E-03
4.2800E-07,1.191E-02,1.098E-02,9.990E-03
4.2880E-07,-7.617E-03,5.980E-02,9.990E-03
4.2960E-07,-2.715E-02,2.074E-02,9.990E-03
4.3040E-07,2.148E-03,2.074E-02,9.990E-03
4.3120E-07,2.148E-03,1.098E-02,9.990E-03
4.3200E-07,-7.617E-03,2.074E-02,9.990E-03
4.3280E-07,-7.617E-03,-8.555E-03,9.990E-03
4.3360E-07,-1.738E-02,1.211E-03,9.990E-03
4.3440E-07,-1.738E-02,2.074E-02,9.990E-03
4.3520E-07,-4.668E-02,2.074E-02,9.990E-03
4.3600E-07,-2.715E-02,5.004E-02,9.990E-03
4.3680E-07,-5.645E-02,9.887E-02,9.990E-03
4.3760E-07,-1.541E-01,1.379E-01,9.990E-03
4.3840E-07,-2.225E-01,2.454E-01,9.990E-03
4.3920E-07,-3.006E-01,3.039E-01,9.990E-03
4.4000E-07,-3.494E-01,3.430E-01,9.990E-03
4.4080E-07,-3.982E-01,4.114E-01,9.990E-03
4.4160E-07,-4.471E-01,4.309E-01,9.990E-03
4.4240E-07,-4.471E-01,4.504E-01,9.990E-03
4.4320E-07,-4.959E-01,5.286E-01,9.990E-03
4.4400E-07,-5.057E-01,5.188E-01,9.990E-03
4.4480E-07,-5.447E-01,5.579E-01,9.990E-03
4.4560E-07,-5.838E-01,5.676E-01,9.990E-03
4.4640E-07,-5.643E-01,5.969E-01,9.990E-03
4.4720E-07,-6.229E-01,5.969E-01,9.990E-03
4.4800E-07,-6.033E-01,6.360E-01,9.990E-03
4.4880E-07,-6.131E-01,6.360E-01,9.990E-03
4.4960E-07,-6.424E-01,6.360E-01,9.990E-03
4.5040E-07,-6.229E-01,6.555E-01,9.990E-03
4.5120E-07,-6.424E-01,6.653E-01,9.990E-03
4.5200E-07,-6.424E-01,6.653E-01,9.990E-03
4.5280E-07,-6.521E-01,6.360E-01,9.990E-03
4.5360E-07,-6.619E-01,6.653E-01,9.990E-03
4.5440E-07,-6.619E-01,6.653E-01,9.990E-03
4.5520E-07,-6.326E-01,6.946E-01,9.990E-03
4.5600E-07,-6.229E-01,6.555E-01,9.990E-03
4.5680E-07,-6.326E-01,6.360E-01,9.990E-03
4.5760E-07,-6.521E-01,6.555E-01,9.990E-03
4.5840E-07,-6.424E-01,6.653E-01,9.990E-03
4.5920E-07,-6.424E-01,6.360E-01,9.990E-03
4.6000E-07,-6.619E-01,6.750E-01,9.990E-03
4.6080E-07,-6.326E-01,6.653E-01,9.990E-03
4.6160E-07,-6.424E-01,6.653E-01,9.990E-03
4.6240E-07,-6.131E-01,6.653E-01,9.990E-03
4.6320E-07,-6.326E-01,6.555E-01,9.990E-03
4.6400E-07,-6.229E-01,6.653E-01,9.990E-03
4.6480E-07,-6.131E-01,6.262E-01,9.990E-03
4.6560E-07,-6.326E-01,6.360E-01,9.990E-03
4.6640E-07,-6.131E-01,6.555E-01,9.990E-03
4.6720E-07,-6.229E-01,6.555E-01,9.990E-03
4.6800E-07,-5.936E-01,6.262E-01,9.990E-03
4.6880E-07,-6.131E-01,6.360E-01,9.990E-03
4.6960E-07,-6.229E-01,6.555E-01,9.990E-03
4.7040E-07,-6.131E-01,6.360E-01,9.990E-03
4.7120E-07,-5.838E-01,6.164E-01,9.990E-03
4.7200E-07,-6.229E-01,6.164E-01,9.990E-03
4.7280E-07,-5.838E-01,6.164E-01,9.990E-03
4.7360E-07,-5.838E-01,6.164E-01,9.990E-03
4.7440E-07,-5.936E-01,5.969E-01,9.990E-03
4.7520E-07,-6.033E-01,6.262E-01,9.990E-03
4.7600E-07,-5.936E-01,6.164E-01,9.990E-03
4.7680E-07,-6.229E-01,6.067E-01,9.990E-03
4.7760E-07,-5.936E-01,6.067E-01,9.990E-03
4.7840E-07,-5.740E-01,5.969E-01,9.990E-03
4.7920E-07,-5.740E-01,5.871E-01,9.990E-03
4.8000E-07,-5.740E-01,5.871E-01,9.990E-03
4.8080E-07,-5.545E-01,5.579E-01,9.990E-03
4.8160E-07,-5.643E-01,5.871E-01,9.990E-03
4.8240E-07,-5.740E-01,5.579E-01,9.990E-03
4.8320E-07,-5.643E-01,5.579E-01,9.990E-03
4.8400E-07,-5.740E-01,5.774E-01,9.990E-03
4.8480E-07,-5.545E-01,5.969E-01,9.990E-03
4.8560E-07,-5.252E-01,5.579E-01,9.990E-03
4.8640E-07,-5.838E-01,5.871E-01,9.990E-03
4.8720E-07,-5.545E-01,5.383E-01,9.990E-03
4.8800E-07,-5.350E-01,5.676E-01,9.990E-03
4.8880E-07,-5.740E-01,5.774E-01,9.990E-03
4.8960E-07,-5.447E-01,5.676E-01,9.990E-03
4.9040E-07,-5.252E-01,5.579E-01,9.990E-03
4.9120E-07,-5.545E-01,5.286E-01,9.990E-03
4.9200E-07,-5.154E-01,5.676E-01,9.990E-03
4.9280E-07,-5.545E-01,5.286E-01,9.990E-03
4.9360E-07,-5.057E-01,5.286E-01,9.990E-03
4.9440E-07,-5.154E-01,5.383E-01,9.990E-03
4.9520E-07,-5.252E-01,5.188E-01,9.990E-03
4.9600E-07,-5.350E-01,5.286E-01,9.990E-03
4.9680E-07,-5.057E-01,5.090E-01,9.990E-03
4.9760E-07,-5.252E-01,5.090E-01,9.990E-03
4.9840E-07,-4.959E-01,5.090E-01,9.990E-03
4.9920E-07,-4.861E-01,5.090E-01,9.990E-03
5.0000E-07,-4.959E-01,5.286E-01,9.990E-03
5.0080E-07,-4.959E-01,5.481E-01,9.990E-03
5.0160E-07,-4.764E-01,5.090E-01,9.990E-03
5.0240E-07,-5.252E-01,4.797E-01,9.990E-03
5.0320E-07,-4.764E-01,4.993E-01,9.990E-03
5.0400E-07,-4.666E-01,4.797E-01,9.990E-03
5.0480E-07,-4.764E-01,4.895E-01,9.990E-03
5.0560E-07,-4.959E-01,4.895E-01,9.990E-03
5.0640E-07,-4.764E-01,4.602E-01,9.990E-03
5.0720E-07,-4.568E-01,4.993E-01,9.990E-03
5.0800E-07,-4.568E-01,4.797E-01,9.990E-03
5.0880E-07,-4.568E-01,5.090E-01,9.990E-03
5.0960E-07,-4.861E-01,4.797E-01,9.990E-03
5.1040E-07,-4.666E-01,4.602E-01,9.990E-03
5.1120E-07,-4.471E-01,4.797E-01,9.990E-03
5.1200E-07,-4.373E-01,4.602E-01,9.990E-03
5.1280E-07,-4.666E-01,4.700E-01,9.990E-03
5.1360E-07,-4.275E-01,4.602E-01,9.990E-03
5.1440E-07,-4.568E-01,4.309E-01,9.990E-03
5.1520E-07,-4.471E-01,4.797E-01,9.990E-03
5.1600E-07,-4.275E-01,4.504E-01,9.990E-03
5.1680E-07,-4.471E-01,4.700E-01,9.990E-03
5.1760E-07,-4.275E-01,4.797E-01,9.990E-03
5.1840E-07,-4.178E-01,4.504E-01,9.990E-03
5.1920E-07,-4.471E-01,4.407E-01,9.990E-03
5.2000E-07,-4.178E-01,4.407E-01,9.990E-03
5.2080E-07,-4.568E-01,4.309E-01,9.990E-03
5.2160E-07,-4.080E-01,4.602E-01,9.990E-03
5.2240E-07,-3.885E-01,4.309E-01,9.990E-03
5.2320E-07,-4.080E-01,4.309E-01,9.990E-03
5.2400E-07,-3.982E-01,4.211E-01,9.990E-03
5.2480E-07,-4.373E-01,4.114E-01,9.990E-03
5.2560E-07,-3.982E-01,4.407E-01,9.990E-03
5.2640E-07,-4.080E-01,4.602E-01,9.990E-03
5.2720E-07,-4.373E-01,4.114E-01,9.990E-03
