in s,C1 in V,C2 in V,C4 in V
3.0560E-07,2.441E-04,7.090E-04,5.049E+00
3.0640E-07,1.221E-03,-2.676E-04,5.088E+00
3.0720E-07,-1.709E-03,-7.559E-04,4.990E+00
3.0800E-07,-2.441E-04,2.207E-04,5.068E+00
3.0880E-07,-2.197E-03,1.197E-03,5.010E+00
3.0960E-07,1.221E-03,2.207E-04,5.088E+00
3.1040E-07,-2.197E-03,-1.244E-03,5.029E+00
3.1120E-07,-7.324E-04,-1.732E-03,5.088E+00
3.1200E-07,-1.221E-03,2.207E-04,5.088E+00
3.1280E-07,-7.324E-04,-7.559E-04,5.049E+00
3.1360E-07,-2.197E-03,-1.244E-03,5.049E+00
3.1440E-07,-7.324E-04,2.207E-04,5.068E+00
3.1520E-07,-7.324E-04,-2.676E-04,5.049E+00
3.1600E-07,2.197E-03,7.090E-04,5.088E+00
3.1680E-07,-1.709E-03,2.207E-04,5.049E+00
3.1760E-07,-2.441E-04,-1.244E-03,5.088E+00
3.1840E-07,-7.324E-04,2.207E-04,5.029E+00
3.1920E-07,-2.441E-04,7.090E-04,5.049E+00
3.2000E-07,-2.686E-03,2.207E-04,4.990E+00
3.2080E-07,-1.221E-03,-1.244E-03,5.068E+00
3.2160E-07,-7.324E-04,-7.559E-04,5.010E+00
3.2240E-07,2.686E-03,-7.559E-04,5.088E+00
3.2320E-07,-2.441E-04,-7.559E-04,5.029E+00
3.2400E-07,-7.324E-04,2.207E-04,5.049E+00
3.2480E-07,-2.686E-03,1.686E-03,5.049E+00
3.2560E-07,1.221E-03,-2.676E-04,5.088E+00
3.2640E-07,-7.324E-04,7.090E-04,5.068E+00
3.2720E-07,-2.441E-04,2.207E-04,5.088E+00
3.2800E-07,-7.324E-04,-2.676E-04,4.990E+00
3.2880E-07,1.709E-03,-7.559E-04,5.068E+00
3.2960E-07,-1.221E-03,-7.559E-04,5.068E+00
3.3040E-07,1.221E-03,-1.244E-03,5.068E+00
3.3120E-07,2.441E-04,2.207E-04,5.049E+00
3.3200E-07,-2.441E-04,7.090E-04,5.068E+00
3.3280E-07,-2.197E-03,-7.559E-04,5.010E+00
3.3360E-07,-2.441E-04,-7.559E-04,5.068E+00
3.3440E-07,-2.441E-04,7.090E-04,5.049E+00
3.3520E-07,7.324E-04,-1.244E-03,5.088E+00
3.3600E-07,2.441E-04,2.207E-04,5.029E+00
3.3680E-07,-7.324E-04,2.207E-04,5.068E+00
