0.000816,10
0.010820,2
0.011820,8
0.012820,11
0.013820,1
0.014816,11
0.015820,8
0.016820,2
0.017820,13
0.018820,6
0.019828,4
0.020820,14
0.021820,3
0.022820,7
0.023820,12
0.024824,1
0.025820,10
0.026820,10
0.027824,1
0.028824,12
0.029820,7
0.030824,3
0.031820,14
0.032820,4
0.033820,5
0.034820,13
0.035824,2
0.036824,8
0.037820,11
0.038824,1
0.039824,11
0.040824,8
0.041824,2
0.042828,13
0.043824,6
0.044824,4
0.045824,14
0.046824,3
0.047824,7
0.048824,12
0.049828,1
0.050824,10
0.054828,7
0.055828,3
0.056828,14
0.057828,4
0.058824,5
0.059824,13
0.060828,2
0.061828,8
0.062832,11
0.063828,1
0.064828,11
0.065824,8
0.066828,2
0.067824,13
0.068828,6
0.069828,4
0.070828,14
0.071828,3
0.072828,7
0.073828,12
0.074828,1
0.075828,10
0.076832,10
0.077828,1
0.078828,12
0.079828,7
0.080828,3
0.081828,14
0.082828,4
0.083832,5
0.084832,13
0.085832,2
0.086832,8
0.087828,11
0.088832,1
0.089828,11
0.090832,8
0.091832,2
0.092832,13
0.093832,6
0.094832,4
0.099832,1
0.100832,10
0.101832,10
0.102828,1
0.103836,12
0.104836,7
0.105840,3
0.106832,14
0.107832,4
0.108832,5
0.109832,13
0.110832,2
0.111832,8
0.112836,11
0.113832,1
0.114836,11
0.115836,8
0.116836,2
0.117832,13
0.118836,6
0.119832,4
0.120836,14
0.121836,3
0.122836,7
0.123836,12
0.124836,1
0.125836,10
0.126836,10
0.127832,1
0.128840,12
0.129836,7
0.130840,3
0.131836,14
0.132836,4
0.133836,5
0.134836,13
0.135836,2
0.136836,8
0.137840,11
0.138836,1
0.139840,11
0.143840,6
0.144836,4
0.145840,14
0.146840,3
0.147844,7
0.148836,12
0.149836,1
0.150836,10
0.151840,10
0.152840,1
0.153840,12
0.154840,7
0.155840,3
0.156840,14
0.157840,4
0.158840,5
0.159840,13
0.160840,2
0.161840,8
0.162844,11
0.163840,1
0.164840,11
0.165844,8
0.166840,2
0.167844,13
0.168844,6
0.169844,4
0.170844,14
0.171840,3
0.172840,7
0.173840,12
0.174844,1
0.175840,10
0.176844,10
